year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1930,16,83,3,27,42,0.4,0.1,2,no win conditions,22,46,1930-07-13,0,3
1930,16,83,6,5,76,0.0,0.3,0,no win conditions,62,5,1930-07-13,0,3
1930,16,83,4,8,80,0.1,0.2,0,no win conditions,66,8,1930-07-14,0,1
1930,16,83,5,52,56,0.1,0.3,0,no win conditions,45,56,1930-07-14,0,1
1930,16,83,3,2,27,0.1,0.0,2,no win conditions,1,30,1930-07-15,0,5
1930,16,83,3,12,42,0.3,0.0,2,no win conditions,9,46,1930-07-16,0,6
1930,16,83,4,6,80,0.0,0.4,0,no win conditions,66,6,1930-07-17,0,4
1930,16,83,6,51,76,0.0,0.3,0,no win conditions,62,55,1930-07-17,0,4
1930,16,83,5,77,52,0.1,0.0,2,no win conditions,63,56,1930-07-18,0,0
1930,16,83,3,2,42,0.5,0.3,2,no win conditions,1,46,1930-07-19,0,2
1930,16,83,3,12,27,0.1,0.0,2,no win conditions,9,30,1930-07-19,0,2
1930,16,83,6,5,51,0.0,0.1,0,no win conditions,39,5,1930-07-20,0,3
1930,16,83,4,6,8,0.0,0.4,0,no win conditions,6,6,1930-07-20,0,3
1930,16,83,5,77,56,0.4,0.0,2,no win conditions,63,60,1930-07-21,0,1
1930,16,83,3,2,12,0.3,0.1,2,no win conditions,1,12,1930-07-22,0,5
1930,16,83,20,2,76,0.5,0.1,2,no win conditions,1,80,1930-07-26,0,2
1930,16,83,20,77,80,0.5,0.1,2,no win conditions,63,84,1930-07-27,0,3
1930,16,83,1,77,2,0.4,0.2,2,no win conditions,63,2,1930-07-30,0,6
1934,6,12,19,2,68,0.2,0.3,0,no win conditions,57,2,1934-05-27,2,3
1934,6,144,19,4,27,0.3,0.2,2,Austria won in AET,3,30,1934-05-27,2,3
1934,6,36,19,5,28,0.2,0.5,0,no win conditions,23,5,1934-05-27,2,3
1934,6,43,19,8,67,0.1,0.3,0,no win conditions,56,8,1934-05-27,2,3
1934,6,143,19,19,56,0.2,0.1,2,no win conditions,15,60,1934-05-27,2,3
1934,6,89,19,23,33,0.2,0.4,0,no win conditions,26,26,1934-05-27,2,3
1934,6,116,19,38,76,0.5,0.1,2,no win conditions,28,80,1934-05-27,2,3
1934,6,81,19,44,69,0.2,0.3,0,no win conditions,58,48,1934-05-27,2,3
1934,6,12,18,4,33,0.2,0.1,2,no win conditions,3,36,1934-05-31,2,4
1934,6,144,18,19,69,0.3,0.2,2,no win conditions,15,73,1934-05-31,2,4
1934,6,81,18,28,68,0.2,0.1,2,no win conditions,23,72,1934-05-31,2,4
1934,6,36,18,38,67,0.1,0.1,1,no win conditions,17,22,1934-05-31,2,4
1934,6,36,18,38,67,0.1,0.0,2,no win conditions,28,71,1934-06-01,1,0
1934,6,116,20,19,28,0.3,0.1,2,no win conditions,15,31,1934-06-03,1,3
1934,6,81,20,38,4,0.1,0.0,2,no win conditions,28,4,1934-06-03,1,3
1934,6,89,21,4,28,0.2,0.3,0,no win conditions,65,4,1934-06-07,1,4
1934,6,116,1,38,18,0.2,0.1,2,Italy won in AET,28,20,1934-06-10,1,3
1938,4,102,19,28,69,0.1,0.1,1,no win conditions,17,22,1938-06-04,1,2
1938,4,136,19,8,53,0.5,0.5,2,Brazil won in AET,6,57,1938-06-05,1,3
1938,4,142,19,17,56,0.3,0.3,1,no win conditions,17,22,1938-06-05,1,3
1938,4,63,19,19,44,0.3,0.0,2,Czechoslovakia won in AET,15,48,1938-06-05,1,3
1938,4,22,19,27,5,0.3,0.1,2,no win conditions,22,5,1938-06-05,1,3
1938,4,113,19,33,20,0.5,0.0,2,no win conditions,26,23,1938-06-05,1,3
1938,4,77,19,38,49,0.2,0.1,2,Italy won in AET,28,53,1938-06-05,1,3
1938,4,142,19,17,56,0.2,0.1,2,no win conditions,13,60,1938-06-09,1,4
1938,4,102,19,28,69,0.2,0.4,0,no win conditions,58,31,1938-06-09,1,4
1938,4,13,18,8,18,0.1,0.1,1,no win conditions,17,22,1938-06-12,1,3
1938,4,1,18,17,68,0.0,0.5,0,no win conditions,57,18,1938-06-12,1,3
1938,4,22,18,27,37,0.1,0.3,0,no win conditions,28,30,1938-06-12,1,3
1938,4,67,18,33,69,0.2,0.0,2,no win conditions,26,73,1938-06-12,1,3
1938,4,13,18,8,18,0.2,0.1,2,no win conditions,6,20,1938-06-14,1,5
1938,4,77,20,8,37,0.1,0.2,0,no win conditions,28,8,1938-06-16,1,4
1938,4,102,20,33,68,0.5,0.1,2,no win conditions,26,72,1938-06-16,1,4
1938,4,13,21,8,68,0.4,0.2,2,no win conditions,6,72,1938-06-19,1,3
1938,4,22,1,33,37,0.2,0.4,0,no win conditions,28,36,1938-06-19,1,3
1950,1,115,3,8,42,0.4,0.0,2,no win conditions,6,46,1950-06-24,1,2
1950,1,115,4,12,25,0.0,0.2,0,no win conditions,20,12,1950-06-25,1,3
1950,1,140,5,38,68,0.2,0.3,0,no win conditions,57,41,1950-06-25,1,3
1950,1,24,4,67,76,0.3,0.1,2,no win conditions,56,80,1950-06-25,1,3
1950,1,6,3,69,80,0.0,0.3,0,no win conditions,66,73,1950-06-25,1,3
1950,1,140,3,8,69,0.2,0.2,1,no win conditions,17,22,1950-06-28,1,6
1950,1,107,3,42,80,0.1,0.4,0,no win conditions,66,46,1950-06-28,1,6
1950,1,115,4,12,67,0.0,0.2,0,no win conditions,56,12,1950-06-29,1,4
1950,1,6,4,25,76,0.0,0.1,0,no win conditions,62,28,1950-06-29,1,4
1950,1,24,5,51,68,0.2,0.2,1,no win conditions,17,22,1950-06-29,1,4
1950,1,115,3,8,80,0.2,0.0,2,no win conditions,6,84,1950-07-01,0,2
1950,1,6,6,6,77,0.0,0.5,0,no win conditions,63,6,1950-07-02,0,3
1950,1,112,4,12,76,0.5,0.2,2,no win conditions,9,80,1950-07-02,0,3
1950,1,115,4,25,67,0.0,0.1,0,no win conditions,56,28,1950-07-02,0,3
1950,1,140,5,38,51,0.2,0.0,2,no win conditions,28,55,1950-07-02,0,3
1950,1,107,3,42,69,0.1,0.2,0,no win conditions,58,46,1950-07-02,0,3
1950,1,115,2,8,68,0.5,0.1,2,no win conditions,6,72,1950-07-09,0,3
1950,1,140,2,67,77,0.2,0.2,1,no win conditions,17,22,1950-07-09,0,3
1950,1,115,2,8,67,0.5,0.1,2,no win conditions,6,71,1950-07-13,0,4
1950,1,140,2,68,77,0.2,0.3,0,no win conditions,63,72,1950-07-13,0,4
1950,1,115,2,8,77,0.1,0.2,0,no win conditions,63,8,1950-07-16,0,3
1950,1,140,2,67,68,0.1,0.3,0,no win conditions,57,71,1950-07-16,0,3
1954,14,158,5,4,59,0.1,0.0,2,no win conditions,3,63,1954-06-16,1,6
1954,14,42,3,8,42,0.5,0.0,2,no win conditions,6,46,1954-06-16,1,6
1954,14,8,5,19,77,0.0,0.2,0,no win conditions,63,20,1954-06-16,1,6
1954,14,62,3,27,80,0.0,0.1,0,no win conditions,66,30,1954-06-16,1,6
1954,14,5,6,5,25,0.4,0.4,1,no win conditions,17,22,1954-06-17,1,4
1954,14,8,4,78,73,0.4,0.1,2,no win conditions,65,77,1954-06-17,1,4
1954,14,158,4,33,65,0.5,0.0,2,no win conditions,26,69,1954-06-17,1,4
1954,14,62,6,69,37,0.2,0.1,2,no win conditions,58,41,1954-06-17,1,4
1954,14,158,5,4,18,0.5,0.0,2,no win conditions,3,20,1954-06-19,1,2
1954,14,62,3,8,80,0.1,0.1,1,no win conditions,17,22,1954-06-19,1,2
1954,14,42,3,27,42,0.3,0.2,2,no win conditions,22,46,1954-06-19,1,2
1954,14,5,5,59,77,0.0,0.5,0,no win conditions,63,63,1954-06-19,1,2
1954,14,70,6,5,37,0.1,0.4,0,no win conditions,28,5,1954-06-20,1,3
1954,14,5,4,78,33,0.3,0.5,0,no win conditions,26,83,1954-06-20,1,3
1954,14,42,4,65,73,0.0,0.5,0,no win conditions,60,69,1954-06-20,1,3
1954,14,8,6,69,25,0.0,0.2,0,no win conditions,20,73,1954-06-20,1,3
1954,14,158,4,78,73,0.5,0.2,2,no win conditions,65,77,1954-06-23,1,6
1954,14,5,6,69,37,0.4,0.1,2,no win conditions,58,41,1954-06-23,1,6
1954,14,5,18,25,77,0.2,0.4,0,no win conditions,63,28,1954-06-26,1,2
1954,14,62,18,69,4,0.5,0.5,0,no win conditions,3,73,1954-06-26,1,2
1954,14,8,18,8,33,0.2,0.4,0,no win conditions,26,8,1954-06-27,1,3
1954,14,42,18,78,80,0.2,0.0,2,no win conditions,65,84,1954-06-27,1,3
1954,14,5,20,4,79,0.1,0.5,0,no win conditions,65,4,1954-06-30,1,6
1954,14,62,20,33,77,0.4,0.2,2,Hungary won in AET,26,81,1954-06-30,1,6
1954,14,158,21,4,77,0.3,0.1,2,no win conditions,3,81,1954-07-03,0,2
1954,14,8,1,78,33,0.3,0.2,2,no win conditions,65,36,1954-07-04,0,3
1958,13,73,3,2,79,0.1,0.3,0,no win conditions,65,2,1958-06-08,1,3
1958,13,145,6,4,8,0.0,0.3,0,no win conditions,6,4,1958-06-08,1,3
1958,13,48,3,19,48,0.0,0.1,0,no win conditions,37,20,1958-06-08,1,3
1958,13,45,6,25,66,0.2,0.2,1,no win conditions,17,22,1958-06-08,1,3
1958,13,95,4,27,51,0.5,0.3,2,no win conditions,22,55,1958-06-08,1,3
1958,13,126,5,33,78,0.1,0.1,1,no win conditions,17,22,1958-06-08,1,3
1958,13,154,4,59,80,0.1,0.1,1,no win conditions,17,22,1958-06-08,1,3
1958,13,135,5,68,42,0.3,0.0,2,no win conditions,57,46,1958-06-08,1,3
1958,13,48,3,2,48,0.3,0.1,2,no win conditions,1,52,1958-06-11,1,6
1958,13,14,6,4,66,0.0,0.2,0,no win conditions,55,4,1958-06-11,1,6
1958,13,45,6,8,25,0.0,0.0,1,no win conditions,17,22,1958-06-11,1,6
1958,13,51,3,19,79,0.2,0.2,1,no win conditions,17,22,1958-06-11,1,6
1958,13,154,4,27,80,0.2,0.3,0,no win conditions,66,30,1958-06-11,1,6
1958,13,135,5,42,78,0.1,0.1,1,no win conditions,17,22,1958-06-11,1,6
1958,13,95,4,51,59,0.3,0.2,2,no win conditions,39,63,1958-06-11,1,6
1958,13,135,5,68,33,0.2,0.1,2,no win conditions,57,36,1958-06-12,1,4
1958,13,51,3,2,18,0.1,0.5,0,no win conditions,15,2,1958-06-15,1,3
1958,13,14,6,4,25,0.2,0.2,1,no win conditions,17,22,1958-06-15,1,3
1958,13,45,6,8,66,0.2,0.0,2,no win conditions,6,70,1958-06-15,1,3
1958,13,159,4,27,59,0.2,0.1,2,no win conditions,22,63,1958-06-15,1,3
1958,13,73,3,78,48,0.2,0.2,1,no win conditions,17,22,1958-06-15,1,3
1958,13,126,5,33,42,0.4,0.0,2,no win conditions,26,46,1958-06-15,1,3
1958,13,35,4,51,80,0.3,0.3,1,no win conditions,17,22,1958-06-15,1,3
1958,13,135,5,68,78,0.0,0.0,1,no win conditions,17,22,1958-06-15,1,3
1958,13,73,3,19,48,0.1,0.2,0,Northern Ireland won in AET,37,20,1958-06-17,1,5
1958,13,45,6,25,66,0.0,0.1,0,no win conditions,55,28,1958-06-17,1,5
1958,13,135,5,33,78,0.1,0.2,0,no win conditions,64,36,1958-06-17,1,5
1958,13,45,18,8,78,0.1,0.0,2,no win conditions,6,82,1958-06-19,1,4
1958,13,95,18,27,48,0.4,0.0,2,no win conditions,22,52,1958-06-19,1,4
1958,13,73,18,78,80,0.1,0.0,2,no win conditions,65,84,1958-06-19,1,4
1958,13,135,18,68,66,0.2,0.0,2,no win conditions,57,70,1958-06-19,1,4
1958,13,135,20,8,27,0.5,0.2,2,no win conditions,6,30,1958-06-24,1,5
1958,13,45,20,68,79,0.3,0.1,2,no win conditions,57,83,1958-06-24,1,5
1958,13,45,21,27,79,0.5,0.3,2,no win conditions,22,83,1958-06-28,1,2
1958,13,135,1,68,8,0.2,0.5,0,no win conditions,6,72,1958-06-29,1,3
1962,2,111,6,2,9,0.1,0.0,2,no win conditions,1,9,1962-05-30,2,6
1962,2,152,5,8,42,0.2,0.0,2,no win conditions,6,46,1962-05-30,2,6
1962,2,127,4,12,69,0.3,0.1,2,no win conditions,9,73,1962-05-30,2,6
1962,2,2,3,14,77,0.1,0.2,0,no win conditions,63,14,1962-05-30,2,6
1962,2,152,5,19,67,0.1,0.0,2,no win conditions,15,71,1962-05-31,2,4
1962,2,111,6,25,33,0.1,0.2,0,no win conditions,26,28,1962-05-31,2,4
1962,2,127,4,78,37,0.0,0.0,1,no win conditions,17,22,1962-05-31,2,4
1962,2,2,3,66,80,0.2,0.0,2,no win conditions,55,84,1962-05-31,2,4
1962,2,111,6,2,25,0.1,0.3,0,no win conditions,20,2,1962-06-02,1,2
1962,2,152,5,8,18,0.0,0.0,1,no win conditions,17,22,1962-06-02,1,2
1962,2,127,4,12,37,0.2,0.0,2,no win conditions,9,41,1962-06-02,1,2
1962,2,2,3,77,80,0.1,0.3,0,no win conditions,66,81,1962-06-02,1,2
1962,2,111,6,9,33,0.1,0.5,0,no win conditions,26,9,1962-06-03,1,3
1962,2,2,3,14,66,0.4,0.4,1,no win conditions,17,22,1962-06-03,1,3
1962,2,127,4,78,69,0.2,0.1,2,no win conditions,65,73,1962-06-03,1,3
1962,2,152,5,42,67,0.0,0.1,0,no win conditions,56,46,1962-06-03,1,3
1962,2,111,6,2,33,0.0,0.0,1,no win conditions,17,22,1962-06-06,1,6
1962,2,152,5,8,67,0.2,0.1,2,no win conditions,6,71,1962-06-06,1,6
1962,2,127,4,12,79,0.0,0.2,0,no win conditions,65,12,1962-06-06,1,6
1962,2,2,3,66,77,0.2,0.1,2,no win conditions,55,81,1962-06-06,1,6
1962,2,111,6,9,25,0.0,0.0,1,no win conditions,17,22,1962-06-07,1,4
1962,2,2,3,14,80,0.0,0.5,0,no win conditions,66,14,1962-06-07,1,4
1962,2,152,5,19,42,0.1,0.3,0,no win conditions,32,20,1962-06-07,1,4
1962,2,127,4,38,69,0.3,0.0,2,no win conditions,28,73,1962-06-07,1,4
1962,2,152,18,8,25,0.3,0.1,2,no win conditions,6,28,1962-06-10,1,3
1962,2,2,18,12,66,0.2,0.1,2,no win conditions,9,70,1962-06-10,1,3
1962,2,111,18,19,33,0.1,0.0,2,no win conditions,15,36,1962-06-10,1,3
1962,2,127,18,78,80,0.0,0.1,0,no win conditions,66,83,1962-06-10,1,3
1962,2,127,20,12,8,0.2,0.4,0,no win conditions,6,12,1962-06-13,1,6
1962,2,152,20,19,80,0.3,0.1,2,no win conditions,15,84,1962-06-13,1,6
1962,2,127,21,12,80,0.1,0.0,2,no win conditions,9,84,1962-06-16,1,2
1962,2,127,1,8,18,0.3,0.1,2,no win conditions,6,20,1962-06-17,1,3
1966,3,69,3,25,77,0.0,0.0,1,no win conditions,17,22,1966-07-11,0,1
1966,3,68,5,8,9,0.2,0.0,2,no win conditions,6,9,1966-07-12,0,5
1966,3,133,4,78,69,0.5,0.0,2,no win conditions,65,73,1966-07-12,0,5
1966,3,80,6,47,66,0.0,0.3,0,no win conditions,55,51,1966-07-12,0,5
1966,3,10,4,2,67,0.2,0.1,2,no win conditions,1,71,1966-07-13,0,6
1966,3,138,6,12,37,0.0,0.2,0,no win conditions,28,12,1966-07-13,0,6
1966,3,69,3,27,42,0.1,0.1,1,no win conditions,17,22,1966-07-13,0,6
1966,3,75,5,33,54,0.1,0.3,0,no win conditions,43,36,1966-07-13,0,6
1966,3,68,5,8,33,0.1,0.3,0,no win conditions,26,8,1966-07-15,0,0
1966,3,80,6,12,47,0.1,0.1,1,no win conditions,17,22,1966-07-15,0,0
1966,3,69,3,27,77,0.1,0.2,0,no win conditions,63,30,1966-07-15,0,0
1966,3,133,4,67,69,0.2,0.1,2,no win conditions,56,73,1966-07-15,0,0
1966,3,10,4,2,79,0.0,0.0,1,no win conditions,17,22,1966-07-16,0,2
1966,3,75,5,9,54,0.0,0.3,0,no win conditions,43,9,1966-07-16,0,2
1966,3,69,3,25,42,0.2,0.0,2,no win conditions,20,46,1966-07-16,0,2
1966,3,138,6,38,66,0.0,0.1,0,no win conditions,55,41,1966-07-16,0,2
1966,3,133,4,2,69,0.2,0.0,2,no win conditions,1,73,1966-07-19,0,5
1966,3,68,5,8,54,0.1,0.3,0,no win conditions,43,8,1966-07-19,0,5
1966,3,80,6,38,47,0.0,0.1,0,no win conditions,36,41,1966-07-19,0,5
1966,3,69,3,42,77,0.0,0.0,1,no win conditions,17,22,1966-07-19,0,5
1966,3,75,5,9,33,0.1,0.3,0,no win conditions,26,9,1966-07-20,0,6
1966,3,138,6,12,66,0.1,0.2,0,no win conditions,55,12,1966-07-20,0,6
1966,3,69,3,25,27,0.2,0.0,2,no win conditions,20,30,1966-07-20,0,6
1966,3,10,4,78,67,0.2,0.1,2,no win conditions,65,71,1966-07-20,0,6
1966,3,69,18,25,2,0.1,0.0,2,no win conditions,20,2,1966-07-23,0,2
1966,3,133,18,78,77,0.4,0.0,2,no win conditions,65,81,1966-07-23,0,2
1966,3,138,18,33,66,0.1,0.2,0,no win conditions,55,36,1966-07-23,0,2
1966,3,68,18,47,54,0.3,0.5,0,no win conditions,43,51,1966-07-23,0,2
1966,3,68,20,78,66,0.2,0.1,2,no win conditions,65,70,1966-07-25,0,1
1966,3,69,20,25,54,0.2,0.1,2,no win conditions,20,58,1966-07-26,0,5
1966,3,69,21,54,66,0.2,0.1,2,no win conditions,43,70,1966-07-28,0,4
1966,3,69,1,25,79,0.4,0.2,2,England won in AET,20,83,1966-07-30,0,2
1970,8,79,3,42,66,0.0,0.0,1,no win conditions,17,22,1970-05-31,2,3
1970,8,66,6,9,52,0.2,0.3,0,no win conditions,40,9,1970-06-02,1,5
1970,8,46,5,25,56,0.1,0.0,2,no win conditions,20,60,1970-06-02,1,5
1970,8,109,4,37,77,0.0,0.2,0,no win conditions,63,40,1970-06-02,1,5
1970,8,79,3,5,24,0.3,0.0,2,no win conditions,4,27,1970-06-03,1,6
1970,8,46,5,8,18,0.4,0.1,2,no win conditions,6,20,1970-06-03,1,6
1970,8,66,6,78,43,0.2,0.1,2,no win conditions,65,47,1970-06-03,1,6
1970,8,141,4,38,68,0.1,0.0,2,no win conditions,28,72,1970-06-03,1,6
1970,8,79,3,5,66,0.1,0.4,0,no win conditions,55,5,1970-06-06,1,2
1970,8,46,5,19,56,0.1,0.2,0,no win conditions,45,20,1970-06-06,1,2
1970,8,109,4,38,77,0.0,0.0,1,no win conditions,17,22,1970-06-06,1,2
1970,8,66,6,43,52,0.0,0.3,0,no win conditions,40,47,1970-06-06,1,2
1970,8,46,5,8,25,0.1,0.0,2,no win conditions,6,28,1970-06-07,1,3
1970,8,66,6,9,79,0.2,0.5,0,no win conditions,65,9,1970-06-07,1,3
1970,8,141,4,37,68,0.1,0.1,1,no win conditions,17,22,1970-06-07,1,3
1970,8,79,3,42,24,0.4,0.0,2,no win conditions,32,27,1970-06-07,1,3
1970,8,46,5,8,56,0.3,0.2,2,no win conditions,6,60,1970-06-10,1,6
1970,8,79,3,24,66,0.0,0.2,0,no win conditions,55,27,1970-06-10,1,6
1970,8,66,6,78,52,0.3,0.1,2,no win conditions,65,56,1970-06-10,1,6
1970,8,109,4,68,77,0.1,0.0,2,no win conditions,57,81,1970-06-10,1,6
1970,8,66,6,9,43,0.1,0.1,1,no win conditions,17,22,1970-06-11,1,4
1970,8,46,5,19,25,0.0,0.1,0,no win conditions,20,20,1970-06-11,1,4
1970,8,141,4,37,37,0.0,0.0,1,no win conditions,17,22,1970-06-11,1,4
1970,8,79,3,42,5,0.1,0.0,2,no win conditions,32,5,1970-06-11,1,4
1970,8,46,18,8,52,0.4,0.2,2,no win conditions,6,56,1970-06-14,1,3
1970,8,66,18,25,79,0.2,0.3,0,West Germany won in AET,65,28,1970-06-14,1,3
